txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN039,22-02-2024,Paytm,400.00,INR,PENDING,Utilities,ACC002,
TXN040,2024/02/23,BookMyShow,950.00,INR,SUCCESS,,ACC001,
TXN041,24-02-2024,Amazon,$149.00,USD,SUCCESS,Shopping,ACC003,
TXN042,2024/02/25,Ola,520.00,INR,success,Transport,ACC002,
TXN043,26-02-2024,Airtel,599.00,INR,SUCCESS,Utilities,ACC001,
TXN044,2024/02/27,Zomato,890.00,INR,FAILED,,ACC003,
TXN045,28-02-2024,HDFC ATM,20000.00,INR,SUCCESS,Cash Withdrawal,ACC002,SUSPICIOUS
TXN046,2024/02/29,Netflix,999.00,INR,SUCCESS,Entertainment,ACC001,
TXN047,01-03-2024,Myntra,2700.00,INR,success,,ACC003,
TXN048,2024/03/02,Amazon,3400.00,INR,SUCCESS,Shopping,ACC002,
TXN049,03-03-2024,Swiggy,490.00,INR,success,Food,ACC001,
TXN050,2024/03/04,BigBasket,2100.00,INR,SUCCESS,,ACC003,
TXN051,05-03-2024,Uber,820.00,INR,SUCCESS,Transport,ACC002,
TXN052,2024/03/06,IRCTC,3500.00,INR,success,,ACC001,
TXN053,07-03-2024,Flipkart,4200.00,INR,SUCCESS,Shopping,ACC003,
TXN054,2024/03/08,Paytm,250.00,INR,PENDING,,ACC002,
TXN055,09-03-2024,Zomato,670.00,INR,FAILED,Food,ACC001,
TXN056,2024/03/10,BookMyShow,1100.00,INR,success,,ACC003,
TXN057,11-03-2024,Amazon,$200.00,USD,SUCCESS,Shopping,ACC002,
TXN058,2024/03/12,Airtel,$10.00,USD,SUCCESS,,ACC001,Suspicious USD
TXN059,13-03-2024,Swiggy,560.00,INR,SUCCESS,Food,ACC003,
TXN060,2024/03/14,HDFC ATM,15000.00,INR,success,Cash Withdrawal,ACC002,
,15-03-2024,Netflix,999.00,INR,SUCCESS,Entertainment,ACC001,Missing txn_id
TXN062,2024/03/16,Myntra,3800.00,INR,SUCCESS,,ACC003,
TXN063,17-03-2024,Amazon,2900.00,INR,success,Shopping,ACC002,
TXN064,2024/03/18,Ola,600.00,INR,SUCCESS,,ACC001,
TXN065,19-03-2024,BigBasket,2400.00,INR,FAILED,,ACC003,
TXN066,2024/03/20,Flipkart,75000.00,INR,SUCCESS,,ACC002,SUSPICIOUS
TXN067,21-03-2024,Zomato,740.00,INR,success,Food,ACC001,
TXN068,2024/03/22,Uber,900.00,INR,SUCCESS,Transport,ACC003,
TXN069,23-03-2024,IRCTC,4100.00,INR,SUCCESS,,ACC002,
TXN070,2024/03/24,Paytm,350.00,INR,PENDING,,ACC001,
TXN071,25-03-2024,Amazon,$79.99,USD,success,Shopping,ACC003,
TXN072,2024/03/26,BookMyShow,1350.00,INR,SUCCESS,Entertainment,ACC002,
TXN073,27-03-2024,Airtel,599.00,INR,SUCCESS,Utilities,ACC001,
TXN074,2024/03/28,Swiggy,520.00,INR,success,,ACC003,
TXN075,29-03-2024,Netflix,999.00,INR,SUCCESS,Entertainment,ACC002,
TXN076,2024/03/30,HDFC ATM,8000.00,INR,SUCCESS,Cash Withdrawal,ACC001,
TXN077,31-03-2024,Myntra,4200.00,INR,success,,ACC003,
TXN078,2024/04/01,Amazon,5100.00,INR,SUCCESS,Shopping,ACC002,
TXN079,02-04-2024,Zomato,810.00,INR,FAILED,Food,ACC001,
TXN080,2024/04/03,Flipkart,3600.00,INR,SUCCESS,,ACC003,
TXN081,04-04-2024,Ola,680.00,INR,success,Transport,ACC002,
TXN082,2024/04/05,BigBasket,2700.00,INR,SUCCESS,,ACC001,
TXN083,06-04-2024,Uber,950.00,INR,SUCCESS,Transport,ACC003,
TXN084,2024/04/07,IRCTC,60000.00,INR,SUCCESS,,ACC002,SUSPICIOUS
TXN085,08-04-2024,Paytm,450.00,INR,PENDING,,ACC001,
TXN086,2024/04/09,Amazon,$299.00,USD,SUCCESS,Shopping,ACC003,
TXN087,10-04-2024,BookMyShow,1500.00,INR,success,,ACC002,
TXN088,2024/04/11,Airtel,599.00,INR,SUCCESS,Utilities,ACC001,
TXN089,12-04-2024,Swiggy,470.00,INR,SUCCESS,Food,ACC003,
TXN002,2024/01/16,Amazon,2500.00,INR,success,Shopping,ACC001,
TXN090,14-04-2024,Netflix,999.00,INR,SUCCESS,Entertainment,ACC002,
